latd, latm, longd, longm, altitude
47,30,  6, 30, 4600
47,30,  7,  0, 5100
47,30,  7, 30, 5100
47,30,  8,  0, 5100
47,30,  8, 30, 3700
47,30,  9,  0, 3500
48, 0,  6,30, 4700
48, 0,  7, 0, 4700
48, 0,  7,30, 3900
48, 0,  8, 0, 4500
48, 0,  8,30, 3900
48, 0,  9, 0, 3600
48, 0,  9,30, 3300
48, 0, 10, 0, 2700
48, 0, 10,30, 2700
48, 0, 11, 0, 2700
48, 0, 11,30, 2700
48, 0, 12, 0, 2800
48, 0, 12,30, 2400
48, 0, 13, 0, 2800
48, 0, 13,30, 3100
48, 0, 14, 0, 3700
48, 0, 14,30, 3700
48, 0, 15, 0, 3800
48,30,  6,30, 2100
48,30,  7, 0, 3600
48,30,  7,30, 2200
48,30,  8, 0, 4500
48,30,  8,30, 3600
48,30,  9, 0, 3100
48,30,  9,30, 3300
48,30, 10, 0, 3000
48,30, 10,30, 2600
48,30, 11, 0, 2300
48,30, 11,30, 2300
48,30, 12, 0, 2300
48,30, 12,30, 4000
48,30, 13, 0, 5200
48,30, 13,30, 4900
48,30, 14, 0, 4400
48,30, 14,30, 3900
48,30, 15, 0, 3100
49, 0,  6,30, 2300
49, 0,  7, 0, 2300
49, 0,  7,30, 2400
49, 0,  8, 0, 2600
49, 0,  8,30, 2300
49, 0,  9, 0, 2500
49, 0,  9,30, 2500
49, 0, 10, 0, 2500
49, 0, 10,30, 2700
49, 0, 11, 0, 2800
49, 0, 11,30, 2600
49, 0, 12, 0, 2700
49, 0, 12,30, 4100
49, 0, 13, 0, 5900
49, 0, 13,30, 4400
49, 0, 14, 0, 3100
49, 0, 14,30, 2700
49, 0, 15, 0, 3500
49,30,  6,30, 2800
49,30,  7, 0, 3100
49,30,  7,30, 3000
49,30,  8, 0, 1800
49,30,  8,30, 2500
49,30,  9, 0, 3000
49,30,  9,30, 2200
49,30, 10, 0, 2000
49,30, 10,30, 2000
49,30, 11, 0, 2600
49,30, 11,30, 3500
49,30, 12, 0, 3500
49,30, 12,30, 3500
49,30, 13, 0, 3600
49,30, 13,30, 3100
49,30, 14, 0, 2700
49,30, 14,30, 2700
49,30, 15, 0, 2700
50, 0,  6,30, 3300
50, 0,  7, 0, 2800
50, 0,  7,30, 2500
50, 0,  8, 0, 3300
50, 0,  8,30, 2600
50, 0,  9, 0, 2800
50, 0,  9,30, 3900
50, 0, 10, 0, 3900
50, 0, 10,30, 3000
50, 0, 11, 0, 3600
50, 0, 11,30, 4000
50, 0, 12, 0, 3400
50, 0, 12,30, 4500
50, 0, 13, 0, 3900
50, 0, 13,30, 2700
50, 0, 14, 0, 2000
50, 0, 14,30, 2100
50, 0, 15, 0, 2400
50,30,  6,30, 2300
50,30,  7, 0, 2100
50,30,  7,30, 2500
50,30,  8, 0, 2800
50,30,  8,30, 2900
50,30,  9, 0, 3000
50,30,  9,30, 3500
50,30, 10, 0, 3400
50,30, 10,30, 3500
50,30, 11, 0, 3100
50,30, 11,30, 2600
50,30, 12, 0, 2900
50,30, 12,30, 3200
50,30, 13, 0, 3300
50,30, 13,30, 3400
50,30, 14, 0, 3000
50,30, 14,30, 3800
50,30, 15, 0, 4600
51, 0,  6,30, 1100
51, 0,  7, 0, 1900
51, 0,  7,30, 2800
51, 0,  8, 0, 3300
51, 0,  8,30, 3200
51, 0,  9, 0, 2800
51, 0,  9,30, 3200
51, 0, 10, 0, 2700
51, 0, 10,30, 2000
51, 0, 11, 0, 2000
51, 0, 11,30, 1400
51, 0, 12, 0, 1600
51, 0, 12,30, 1700
51, 0, 13, 0, 1600
51, 0, 13,30, 1700
51, 0, 14, 0, 2200
51, 0, 14,30, 2200
51, 0, 15, 0, 1900
51,30,  6,30, 1200
51,30,  7, 0, 1700
51,30,  7,30, 1300
51,30,  8, 0, 1700
51,30,  8,30, 2400
51,30,  9, 0, 2000
51,30,  9,30, 2100
51,30, 10, 0, 3400
51,30, 10,30, 4200
51,30, 11, 0, 2200
51,30, 11,30, 1300
51,30, 12, 0,  900
51,30, 12,30,  900
51,30, 13, 0,  900
51,30, 13,30, 1100
51,30, 14, 0, 1300
51,30, 14,30,  900
51,30, 15, 0, 1100
52, 0,  6,30,  500
52, 0,  7, 0, 1000
52, 0,  7,30, 1000
52, 0,  8, 0, 1600
52, 0,  8,30, 1300
52, 0,  9, 0, 1700
52, 0,  9,30, 1700
52, 0, 10, 0, 1100
52, 0, 10,30, 1600
52, 0, 11, 0, 1600
52, 0, 11,30,  900
52, 0, 12, 0,  600
52, 0, 12,30,  700
52, 0, 13, 0, 1000
52, 0, 13,30,  600
52, 0, 14, 0,  500
52, 0, 14,30,  700
52, 0, 15, 0, 1600
52,30,  6,30,  400
52,30,  7, 0, 1000
52,30,  7,30,  900
52,30,  8, 0, 1000
52,30,  8,30,  800
52,30,  9, 0, 1000
52,30,  9,30,  900
52,30, 10, 0,  800
52,30, 10,30, 1500
52,30, 11, 0,  800
52,30, 11,30,  900
52,30, 12, 0,  700
52,30, 12,30,  800
52,30, 13, 0, 1500
52,30, 13,30,  900
52,30, 14, 0,  900
52,30, 14,30,  800
52,30, 15, 0, 1200
53, 0,  6,30,  500
53, 0,  7, 0,  600
53, 0,  7,30, 1300
53, 0,  8, 0, 1200
53, 0,  8,30,  900
53, 0,  9, 0,  800
53, 0,  9,30, 1100
53, 0, 10, 0,  900
53, 0, 10,30, 1200
53, 0, 11, 0, 1500
53, 0, 11,30,  900
53, 0, 12, 0,  800
53, 0, 12,30,  700
53, 0, 13, 0,  800
53, 0, 13,30, 1200
53, 0, 14, 0, 1000
53, 0, 14,30, 1400
53, 0, 15, 0,  900
53,30,  6,30,  500
53,30,  7, 0,  500
53,30,  7,30,  600
53,30,  8, 0, 1000
53,30,  8,30,  900
53,30,  9, 0,  800
53,30,  9,30, 1100
53,30, 10, 0, 1100
53,30, 10,30,  900
53,30, 11, 0, 1200
53,30, 11,30,  700
53,30, 12, 0,  700
53,30, 12,30,  800
53,30, 13, 0,  900
53,30, 13,30,  700
53,30, 14, 0,  700
53,30, 14,30,  800
53,30, 15, 0,  800
